ID (do not edit),Content type,Element type,Source language (EN),Target language (IT)
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,RentALL,"Featuring restored arches, minimalist design, and high ceilings, the interiors are curated to offer serenity and inspiration with views over historic rooftops.","Die Innenräume mit restaurierten Bögen, minimalistischem Design und hohen Decken sind so gestaltet, dass sie Ruhe und Inspiration mit Blick auf historische Dächer bieten."
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,RentALL,Maison Grace,Maison Grace
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,RentALL,Approx. 160 m²,Ca. 160 m²
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""price21"",""sequencePath"":[]}",TEXT,RentALL,,
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,RentALL,Monaco-Ville,Monaco-Ville
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,RentALL,1 noble townhouse,1 edles Stadthaus
"{""contentId"":""097779b2-fb65-4a04-b7ee-d1a05d800b71"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,RentALL,Heritage Revival Infused with Modern Taste,Wiederbelebung des Kulturerbes mit modernem Geschmack
"{""contentId"":""14b5afa5-5242-43b6-9199-b47b86c8c484"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_3"">Luxury Real Estate&nbsp;<br />
Off-Market Access&nbsp;<br />
Bespoke Advisory</p>","<p class=""font_3"">Luxusimmobilien&nbsp;<br />
Off-Market-Zugang&nbsp;<br />
Maßgeschneiderte Beratung</p>"
"{""contentId"":""23446623-c2ea-4290-8ff7-5449685ed6f8"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8"">Last updated: October 2025</p>","<p class=""font_8"">Letzte Aktualisierung: Oktober 2025</p>"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">2 - 4</p>","<p class=""font_8"">2 - 4</p>"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Le Roccabella is a luxury high-rise on Avenue Princesse Grace, offering front-row views of Larvotto Beach and refined urban living.","Le Roccabella ist ein luxuriöses Hochhaus in der Avenue Princesse Grace, das einen Blick aus der ersten Reihe auf den Strand von Larvotto und raffiniertes Stadtleben bietet."
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Underground garage with private spaces,Tiefgarage mit privaten Räumen
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,2 to 4 bedrooms; full sea views; luxury materials throughout,2 bis 4 Schlafzimmer; voller Meerblick; Luxuriöse Materialien im gesamten Gebäude
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Le Roccabella is a luxurious high-rise residence located along Avenue Princesse Grace, offering front-row views of Larvotto Beach and refined urban living.",Le Roccabella ist eine luxuriöse Hochhausresidenz an der Avenue Princesse Grace und bietet Blick aus der ersten Reihe auf den Strand von Larvotto und elegantes Stadtleben.
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"The building offers 24/7 concierge, direct access to the waterfront promenade, and one of the most prestigious locations in Monaco.","Das Gebäude bietet einen Concierge rund um die Uhr, direkten Zugang zur Uferpromenade und eine der prestigeträchtigsten Lagen in Monaco."
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Video of Résidence Le Roccabella Monaco high rise with curving facade,Video des Hochhauses Résidence Le Roccabella Monaco mit geschwungener Fassade
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Prestigious 1970s architecture with modernized interiors and iconic seafront location,Prestigeträchtige Architektur aus den 1970er Jahren mit modernisierten Innenräumen und ikonischer Lage direkt am Meer
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Concierge, direct beach access, renovated lobby","Concierge, direkter Zugang zum Strand, renovierte Lobby"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Each unit benefits from generous terraces, expansive living areas, and floor-to-ceiling glass that floods the space with natural light. Renovations often include Italian marble, custom carpentry, and smart lighting.","Jede Einheit profitiert von großzügigen Terrassen, weitläufigen Wohnbereichen und raumhohen Glasflächen, die den Raum mit natürlichem Licht durchfluten. Bei Renovierungen werden häufig italienischer Marmor, maßgeschneiderte Tischlereiarbeiten und intelligente Beleuchtung eingesetzt."
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Résidence Le Roccabella,Residenz Le Roccabella
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,100 m² to 450 m²,100 m² bis 450 m²
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Seaside view of Résidence Le Roccabella Monaco modern high rise dominating the skyline,"Meerblick auf das moderne Hochhaus Résidence Le Roccabella Monaco, das die Skyline dominiert"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Larvotto,Larvotto
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""altText2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Résidence Le Roccabella Monaco tower with curving balconies and glass walls,Turm der Résidence Le Roccabella Monaco mit geschwungenen Balkonen und Glaswänden
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""priceRent"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""numberOfResidences"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Approx. 80 apartments,Ca. 80 Wohnungen
"{""contentId"":""29d4a5fd-d8a3-47d2-b534-a9dc7f80fb08"",""fieldId"":""eigenschaftTitel"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Uncompromising Living with a Riviera Pulse,Kompromissloses Leben mit Riviera-Puls
"{""contentId"":""021ebd42-5ec3-4780-adee-3a28bb52e188"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_2"">Exclusive Real Estate<br />
in Monaco</h1>","<h1 class=""font_2"">Exklusive Immobilien<br />
in Monaco</h1>"
"{""contentId"":""206a1ebb-7b6a-454a-adf5-475a75fcf361"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_8"">We take the protection of your personal data very seriously and handle it in accordance with applicable data protection laws. This Privacy Policy explains how we collect, use, and disclose information through our website and/or mobile application (together: &ldquo;digital assets&rdquo;) and related services (&ldquo;services&rdquo;).</p>

<p class=""font_8"">&nbsp;</p>

<p class=""font_8"">By using our services, you acknowledge and consent to this Privacy Policy. If you do not agree, you must discontinue use. Continued use after changes constitutes acceptance of those changes.</p>","<p class=""font_8"">Wir nehmen den Schutz Ihrer persönlichen Daten sehr ernst und behandeln diese entsprechend der geltenden Datenschutzgesetze. In dieser Datenschutzrichtlinie wird erläutert, wie wir über unsere Website und/oder mobile Anwendung (zusammen: &ldquo;digitale Assets&rdquo;) und damit verbundene Dienste (&ldquo;Dienste&rdquo;) Informationen sammeln, verwenden und offenlegen.</p>

<p class=""font_8"">&nbsp;</p>

<p class=""font_8"">Durch die Nutzung unserer Dienste erkennen Sie diese Datenschutzrichtlinie an und stimmen ihr zu. Wenn Sie damit nicht einverstanden sind, müssen Sie die Nutzung einstellen. Die weitere Nutzung nach Änderungen stellt die Annahme dieser Änderungen dar.</p>"
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""bedrooms"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">1 - 3</p>","<p class=""font_8"">1 - 3</p>"
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""1MetaDescription"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"A charming historic residence on the Rampe Major, the path to the Prince’s Palace, offering elegance and a front-row seat to history.","Eine charmante historische Residenz an der Rampe Major, dem Weg zum Fürstenpalast, die Eleganz und einen Platz in der ersten Reihe der Geschichte bietet."
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""parkingFacilities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Nearby resident garages,Anwohnergaragen in der Nähe
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""bedroomsFeatures"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,1 to 3 bedrooms; restored interiors; old-town views,1 bis 3 Schlafzimmer; restaurierte Innenräume; Blick auf die Altstadt
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"This charming historic residence lies along the ascending Rampe Major, the ceremonial path to the Prince’s Palace, offering elegance and a front-row seat to Monegasque history.","Diese charmante historische Residenz liegt an der ansteigenden Rampe Major, dem zeremoniellen Weg zum Fürstenpalast, und bietet Eleganz und einen Einblick in die monegassische Geschichte in der ersten Reihe."
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""description1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"A highly limited offering in the oldest part of Monaco, ideal for long-term residents or seasonal visitors seeking charm and prestige.","Ein stark begrenztes Angebot im ältesten Teil von Monaco, ideal für Langzeitbewohner oder Saisonbesucher, die Charme und Prestige suchen."
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""altText"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Video of Résidence Rampe Major Monaco with old-town setting and sea views,Video der Résidence Rampe Major Monaco mit Altstadtlage und Meerblick
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""architecturalConcept"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Monegasque heritage in a romantic hilltop setting,Monegassisches Erbe in romantischer Hügellandschaft
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""servicesAmenities"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Secured entry, heritage architecture","Gesicherter Eintritt, historische Architektur"
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""2Description"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"Units are lovingly restored, with stone façades, French shutters, and intimate balconies overlooking the old town’s winding lanes.","Die Einheiten sind liebevoll restauriert und verfügen über Steinfassaden, französische Fensterläden und gemütliche Balkone mit Blick auf die verwinkelten Gassen der Altstadt."
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""listingTitle"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Résidence Rampe Major,Residenz Rampe Major
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""price2"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,"<p class=""font_8"">Price on request</p>","<p class=""font_8"">Preis auf Anfrage</p>"
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""livingSpace"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,70 m² to 180 m²,70 m² bis 180 m²
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""altText1"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Harbour and palace view from Résidence Rampe Major Monaco terraces,Blick auf den Hafen und den Palast von den Terrassen der Résidence Rampe Major Monaco
"{""contentId"":""1602d5e4-1d63-4468-878e-3a203ec3417d"",""fieldId"":""district"",""sequencePath"":[]}",TEXT,LuxuryRealEstateMonaco,Monaco-Ville,Monaco-Ville
